"beta","e0","lnalpha","sigma"
0.123322203757794,-0.251476702600228,1.59895505156938,0.398623313134995
0.130147022180614,-0.222146861917086,1.62079620526483,0.362698083517996
0.155303556736588,0.0223870507949096,1.79956816044049,0.419398273999511
0.140373061512691,-0.174940239307569,1.84643287648109,0.35217239865439
0.153381775771784,0.130228888812635,1.73027989639698,0.327872435136467
0.117040844431933,0.0758494607643929,1.51445418960414,0.443299918207482
0.127008492340657,-0.144111569088785,1.55901404323528,0.406144215471014
0.157765486974657,0.113716847906583,1.85871705480628,0.394936627099243
0.149429325414095,-0.109024141281091,1.83088952661823,0.342305587023398
0.154078262343253,-0.0863366612925559,1.79734057595516,0.401906576620457
0.141056562631438,0.0337968682075448,1.77071540926204,0.357610602171176
0.148769586996982,0.151578150920429,1.75825994243153,0.458456598562251
0.126462666573767,0.0483238092263852,1.58772409953496,0.449430926349011
0.119676638666642,0.160088769618128,1.53314962351592,0.336014839631895
0.111477090113661,0.196823918733427,1.41987387822599,0.478990783225201
0.154325664351768,0.154122002946168,1.73502735858778,0.443653908300937
0.147479749520674,-0.0959362140275214,1.83172306201734,0.386144078068949
0.147424952366731,0.0404832680605314,1.75730160280976,0.350574356245544
0.10720020266691,0.321609541593617,1.47938542476855,0.360605726420339
0.182281540337339,-0.126759239861368,2.192794142477,0.466609664840197
0.114748608908031,0.481025298058732,1.48196855585493,0.378158012802088
0.152782726810082,-0.151360751994322,1.92249693138842,0.465915355994933
0.141017456235518,0.0685202852504896,1.75553387805319,0.40733165023062
0.132237124540088,-0.202760476858897,1.65334493912823,0.365823770601575
0.131304297404559,-0.123600036194917,1.57698180614973,0.355499556684755
0.138408771550249,-0.061614699827569,1.72007297153794,0.37673761518928
0.140107628489638,-0.131870462217566,1.63283428867579,0.341626606318704
0.131781477165573,0.0775769005421784,1.66250911231456,0.397839023749838
0.14411431182763,-0.121627632516582,1.65384266679315,0.436534638052684
0.110107598109657,-0.250561883547476,1.46729602362409,0.450138690062948
0.155931898977934,0.231015155578738,1.72240993593689,0.345873449429623
0.149640226937689,0.16054487642234,1.81356867151181,0.338864996516298
0.135576580297082,-0.0388611083302444,1.70566711804983,0.451809089780142
0.134833111379735,-0.0399270032213732,1.62517711187772,0.451660939304643
0.192434522953644,-0.0959152576124043,2.12947617234062,0.453281545643094
0.0939576832489467,-0.20233357027737,1.36565986062059,0.388575802426724
