"beta","e0","lnalpha","phi","sigma"
0.135931595259293,-0.211814307803876,1.82709077642104,0.207373836638482,0.414579146916349
0.15379739570665,0.413268567624974,1.83315008867893,-0.134184654790874,0.328342832622397
0.18696472732636,-0.128462831553513,1.96527751477483,-0.515835229524374,0.438359220954184
0.196108891481733,0.0687828503073523,1.97516532132406,0.137392842775963,0.394349301545575
0.222137981956719,-0.0828563774330519,2.22724794348324,-0.233624699949777,0.401069005075775
0.176629520362721,-0.209415669210766,2.08707768252974,-0.334339721314448,0.406471201134756
0.124211304772694,-0.100275850547664,1.68667029179321,0.261124062107295,0.421188686488812
0.126071020608128,0.12631727583183,1.5316859537897,-0.124727827559247,0.396486512756734
0.136257716888957,0.290221977647534,1.59567730235904,-0.00658179955470506,0.41046073795683
0.206899684030673,0.26734460582705,2.25015369967997,-0.17773984855942,0.419411885954021
0.236318720638227,-0.200885473772917,2.30737577803177,-0.0127196255932989,0.367781349539452
0.207771872159457,0.113295731318889,2.1870001771512,-0.545739025163203,0.389911579185751
0.222731454867049,0.341576905773002,2.19762869964822,-0.439329094164177,0.349580387232988
0.240610422858091,0.255720453426003,2.40925185010244,-0.12315828419549,0.394110439419272
0.217282514618099,0.358830725686502,2.18614993911901,-0.35139065785476,0.367029350629447
0.259516552087977,0.23373791263813,2.3464847368239,-0.0458635050858442,0.411188607130003
0.213369683563659,-0.00550604863166027,2.25882679132486,-0.134466643442015,0.463845216011099
0.216343825266148,0.273682708649702,2.14427006432231,-0.529210370674397,0.317970627369078
0.193462012529261,-0.0952613609310002,1.99438962037942,-0.170428178503176,0.301253791112313
0.185814772493456,-0.0790631610479556,1.96708657402435,0.0227479698356322,0.403089436326869
0.185680020189428,-0.102183103436738,2.0064916343935,-0.3561520853125,0.358298861534593
0.151317048649297,0.21376188937844,1.77209406655443,-0.00536437132434908,0.41476916468631
0.219903921646173,0.264062677823388,2.2841626898173,-0.133341867885503,0.396215139717836
0.236194077852954,-0.040347137133502,2.40538912375449,-0.498273483722784,0.394474514490425
0.2100898463333,0.262112131165451,2.11187760816466,-0.132346432302484,0.411771381273998
0.158832147187992,-0.0393421435346031,1.8124044898815,-0.228489005483336,0.349984988187828
0.126208441321461,0.189733441338955,1.56960571607531,-0.125860054205468,0.371904212771678
0.136007233584289,0.202021214402375,1.65625547691739,-0.286574486298206,0.404184887448282
0.142971547459288,-0.335495424893001,1.70948023901213,0.141926406901917,0.421021432219601
0.167342550211635,0.205330227914093,1.82269916509427,0.016059546728379,0.404292643934201
0.199394789554286,-0.0211515312039253,2.04453798813259,-0.165411402684873,0.358967654144455
0.184900876726116,0.276316110530721,2.03669001505264,0.129461295393597,0.388544925237707
0.201639144716845,0.0831506710586174,2.20487795026582,0.159780753514974,0.441858756453357
0.247718270935771,0.321367301242509,2.40318755681149,-0.485235961557645,0.370821410081508
0.261158140345942,-0.0714621322826009,2.47775279288724,-0.154161839735866,0.401886854311138
0.230010565651858,-0.341928846809982,2.33606104033694,-0.20840348983081,0.4190234788214
0.187978849334671,0.00389745631596933,2.0159578155129,-0.044985361954018,0.445338464347461
0.143166115923949,0.107456455137491,1.7260231027628,-0.183818260180983,0.324223268210687
0.20458429976246,0.376124394333295,2.18954718170272,-0.317285987020907,0.405312597837528
0.213558892749126,0.0689341749521374,2.18517649249716,-0.0756008970490522,0.488844427525725
0.172050415653485,-0.498583592760024,1.92395862669274,-0.31043644487643,0.4033379895739
0.173844023392731,0.0559049593672209,1.80478567460432,-0.409956795614668,0.420441884289808
0.211451632996712,0.16627662274909,2.1125151099352,-0.353404807410846,0.370531693405538
0.207021499494835,0.0603034994857712,2.04528012777875,-0.0101383389460352,0.401382758622656
0.216566558202031,-0.183527412051256,2.23894600448665,-0.481693859860709,0.398254750945091
